07 52 18  +22 55 05  07 51 56  +22 54 35  12 19.350
12 17 55  +59 56 46  12 17 34  +59 57 33  13 29.767
14 56 51  +25 14 25  14 56 33  +25 14 43  13 36.200
13 09 45  +50 02 51  13 09 25  +50 03 35  13 47.583
13 50 41  -14 14 35  13 50 21  -14 15 10  12 35.550
14 32 44  +60 30 26  14 32 26  +60 31 37  13 13.100
11 47 29  +20 13 00  11 47 08  +20 13 07  11 43.450
08 14 24  +08 18 40  08 14 01  +08 18 05  12 17.500
13 11 02  -15 52 25  13 10 41  -15 53 09  12 36.467
12 31 05  +18 49 20  12 30 43  +18 49 18  13 42.217
14 53 48  +13 11 44  14 53 30  +13 11 44  13 18.667
15 14 18  +19 36 19  15 14 01  +19 36 31  13 17.767
10 10 02  +56 02 22  10 09 39  +56 02 36  13 10.517
13 13 55  +34 36 28  13 13 34  +34 36 56  13 55.667
13 29 57  +39 36 21  13 29 36  +39 36 56  13 56.550
16 02 32  +06 49 46  16 02 12  +06 50 03  12 03.033
13 23 30  +02 25 29  13 23 09  +02 25 09  13 21.350
14 26 23  -09 53 30  14 26 04  -09 53 53  12 34.633
14 28 30  -18 17 20  14 28 10  -18 17 42  12 06.650
13 59 15  +02 46 47  13 58 56  +02 46 24  13 20.450
16 26 46  +33 58 54  16 26 27  +33 59 38  12 29.117
14 53 13  -37 47 31  14 52 51  -37 48 11  13 59.983
15 08 21  +04 59 12  15 08 03  +04 59 06  12 57.683
14 06 26  -41 09 55  14 06 02  -41 10 47  14 00.817
12 14 20  -27 33 45  12 13 57  -27 34 38  12 10.233
13 26 51  -23 32 01  13 26 31  -23 32 39  12 08.417
09 46 23  +39 41 26  09 46 00  +39 41 22  13 08.633
15 21 07  -06 54 53  15 20 48  -06 54 53  12 04.850
07 05 58  +46 43 53  07 05 38  +46 43 42  12 22.150
11 07 52  +45 54 22  11 07 29  +45 54 38  13 27.850
08 28 26  +42 28 29  08 28 04  +42 28 22  12 46.600
12 22 45  +25 14 38  12 22 23  +25 14 43  13 43.133
15 44 05  +01 43 02  15 43 46  +01 43 10  12 03.917
14 03 52  -21 53 34  14 03 32  -21 54 01  12 07.500
11 21 26  -13 57 37  11 21 02  -13 58 35  12 39.200
14 04 19  -05 34 54  14 04 00  -05 35 17  12 59.483
09 53 43  +01 47 29  09 53 19  +01 46 46  12 41.900
15 05 50  +43 01 40  15 05 32  +43 02 25  13 33.500
08 56 36  +25 03 18  08 56 13  +25 02 53  12 44.700
12 24 40  -05 31 53  12 24 18  -05 32 29  13 02.167
16 18 23  +25 02 20  16 18 04  +25 02 52  12 30.050
15 39 22  +27 50 19  15 39 04  +27 50 40  13 16.833
13 15 46  +13 14 52  13 15 25  +13 14 44  13 40.500
09 54 05  -16 08 14  09 53 40  -16 09 15  12 13.867
14 48 23  -04 44 51  14 48 04  -04 45 04  12 33.750
14 23 00  +16 21 40  14 22 41  +16 21 44  13 37.950
15 31 50  +11 53 33  15 31 33  +11 53 35  12 56.767
16 09 42  +37 13 27  16 09 24  +37 14 09  12 53.967
14 36 16  -01 28 35  14 35 58  -01 28 51  12 58.583
14 20 16  +23 19 04  14 19 57  +23 19 17  13 52.083
15 41 22  +45 37 57  15 41 05  +45 38 49  13 14.950
17 32 02  +56 42 58  17 31 38  +56 44 22  11 57.433
14 41 59  +47 29 18  14 41 41  +47 30 10  13 32.617
14 08 00  +50 10 51  14 07 41  +50 11 45  13 31.733
14 31 59  +34 54 47  14 31 40  +34 55 15  13 50.283
16 46 53  +51 45 26  16 46 33  +51 46 35  12 27.217
13 47 34  +43 24 07  13 47 15  +43 24 48  13 48.500
12 40 17  -39 58 18  12 39 52  -39 59 14  14 01.917
16 57 40  +39 37 08  16 57 18  +39 38 05  11 59.300
12 10 39  +06 27 02  12 10 17  +06 26 42  13 23.183
13 15 35  +61 23 20  13 15 16  +61 24 28  13 12.033
09 29 46  -11 26 32  09 29 21  -11 27 26  12 14.750
13 28 16  -06 00 42  13 27 56  -06 01 18  13 00.383
15 30 20  +61 46 06  15 30 02  +61 47 34  12 51.067
15 55 00  +27 33 58  15 54 43  +27 34 25  12 54.917
12 44 52  +03 44 30  12 44 30  +03 44 05  13 22.283
12 40 45  -17 33 54  12 40 23  -17 34 43  12 37.350
07 18 12  +39 19 02  07 17 51  +39 18 50  12 21.233
16 37 55  +22 49 35  16 37 34  +22 50 09  12 01.167
14 16 54  +39 30 17  14 16 35  +39 30 57  13 49.400
13 39 50  +12 25 01  13 39 30  +12 24 56  13 39.633
15 36 06  +37 00 33  15 35 49  +37 01 10  13 15.900
